Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Densidad_habitantes_por_hectarea,Año,Latitud ,Longitud
1,Centro,11,Palacio,153.17,2018,40.41693878,-3.718042236
1,Centro,12,Embajadores,431.74,2018,40.41107777,-3.703573122
1,Centro,13,Cortes,177.93,2018,40.41590962,-3.698176901
1,Centro,14,Justicia,224.2,2018,40.42372487,-3.696153568
1,Centro,15,Universidad,325.91,2018,40.42659076,-3.708216164
1,Centro,16,Sol,161.71,2018,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,234.78,2018,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,342.37,2018,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,348.7,2018,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,136.11,2018,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,260.49,2018,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,397.07,2018,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,15.84,2018,40.40274032,-3.688177947
3,Retiro,31,Pacífico,443.14,2018,40.40406672,-3.67840479
3,Retiro,32,Adelfas,286.29,2018,40.40162378,-3.670517136
3,Retiro,33,Estrella,226.6,2018,40.41237553,-3.666253718
3,Retiro,34,Ibiza,436.45,2018,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,37.11,2018,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,237.53,2018,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,180.45,2018,40.42492822,-3.685719609
4,Salamanca,42,Goya,384.32,2018,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,243.34,2018,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,257.42,2018,40.43630674,-3.66653976
4,Salamanca,45,Lista,402.83,2018,40.43140714,-3.676307495
4,Salamanca,46,Castellana,219.11,2018,40.43348152,-3.684552837
5,Chamartin,51,El Viso,100.31,2018,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,351.15,2018,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,242.51,2018,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,183.2,2018,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,136.84,2018,40.46296601,-3.678451861
5,Chamartin,56,Castilla,78.06,2018,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,402,2018,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,289.05,2018,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,288.97,2018,40.46134697,-3.693356225
6,Tetuan,64,Almenara,224.35,2018,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,219.79,2018,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,405.36,2018,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,447.52,2018,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,420.85,2018,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,400.78,2018,40.43363365,-3.701411104
7,Chamberí,74,Almagro,211.09,2018,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,277.31,2018,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,187.48,2018,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,0.18,2018,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,23.39,2018,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,153.82,2018,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,338.13,2018,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,156.78,2018,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,68.97,2018,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,45.84,2018,40.49712907,-3.720451855
8,Fuencarral-El Pardo,88,El Goloso,6.78,2018,40.55638538,-3.703303014
9,Moncloa-Aravaca,91,Casa de Campo,7.39,2018,40.42071623,-3.755457443
9,Moncloa-Aravaca,92,Argüelles,316.71,2018,40.42843437,-3.716990154
9,Moncloa-Aravaca,93,Ciudad Universitaria,11.3,2018,40.46089498,-3.73758365
9,Moncloa-Aravaca,94,Valdezarza,210.51,2018,40.46557332,-3.716540901
9,Moncloa-Aravaca,95,Valdemarín,19.86,2018,40.46812302,-3.777237777
