Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Españoles_0_15_años,Españoles_16_64_años,Españoles_65_mas_años,Total_Españoles,Extranjeros_0_15_años,Extranjeros_16_64_años,Extranjeros_65_mas_años,Total_Extranjeros,Total_personas,Año,Latitud ,Longitud
1,Centro,11,Palacio,1504,13199,4220,18923,263,4186,211,4660,23584,2021,40.41693878,-3.718042236
1,Centro,12,Embajadores,2788,24511,5968,33267,1021,12563,387,13971,47238,2021,40.41107777,-3.703573122
1,Centro,13,Cortes,580,5709,1694,7983,156,2510,138,2804,10787,2021,40.41590962,-3.698176901
1,Centro,14,Justicia,1131,10087,2652,13870,268,3906,164,4338,18208,2021,40.42372487,-3.696153568
1,Centro,15,Universidad,1889,18429,4932,25250,506,7369,301,8176,33426,2021,40.42659076,-3.708216164
1,Centro,16,Sol,375,3872,1186,5433,127,2325,108,2560,7993,2021,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,2415,13442,4950,20807,145,1548,96,1789,22596,2021,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,3432,21438,8660,33530,255,2481,129,2865,36395,2021,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,1858,10942,4415,17215,262,2486,113,2861,20077,2021,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,3393,12871,1837,18101,157,1242,72,1471,19572,2021,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,3549,16586,4693,24828,354,3057,135,3546,28374,2021,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,2162,14416,5189,21767,297,3563,157,4017,25785,2021,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,282,932,142,1356,9,73,6,88,1444,2021,40.40274032,-3.688177947
3,Retiro,31,Pacífico,3046,18475,8333,29854,272,2770,171,3213,33067,2021,40.40406672,-3.67840479
3,Retiro,32,Adelfas,2318,10811,4060,17189,162,1224,78,1464,18653,2021,40.40162378,-3.670517136
3,Retiro,33,Estrella,2887,11988,7079,21954,101,917,78,1096,23051,2021,40.41237553,-3.666253718
3,Retiro,34,Ibiza,2362,11250,5199,18811,263,2313,171,2747,21558,2021,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,728,3665,1720,6113,72,668,75,815,6928,2021,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,2129,8192,4035,14356,102,764,78,944,15300,2021,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,1554,7758,3381,12693,260,2433,243,2936,15629,2021,40.42492822,-3.685719609
4,Salamanca,42,Goya,2709,15350,6709,24768,376,4023,312,4711,29479,2021,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,2019,11245,4943,18207,237,2365,154,2756,20963,2021,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,4431,22752,9816,36999,346,4349,245,4940,41939,2021,40.43630674,-3.66653976
4,Salamanca,45,Lista,2023,10709,4796,17528,230,2935,171,3336,20864,2021,40.43140714,-3.676307495
4,Salamanca,46,Castellana,1760,8349,3764,13873,202,2854,213,3269,17142,2021,40.43348152,-3.684552837
5,Chamartin,51,El Viso,2269,9423,3610,15302,147,1751,149,2047,17349,2021,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,3746,19609,8978,32333,346,3388,236,3970,36303,2021,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,2063,9967,4218,16248,224,2013,133,2370,18618,2021,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,4348,17249,7487,29084,253,2046,259,2558,31642,2021,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,3959,13374,4954,22287,243,1931,236,2410,24697,2021,40.46296601,-3.678451861
5,Chamartin,56,Castilla,2176,9462,3749,15387,139,1450,115,1704,17091,2021,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,2734,14492,5050,22276,735,6163,291,7189,29465,2021,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,3187,18527,7558,29272,471,4815,259,5545,34817,2021,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,1664,10948,4666,17278,293,2770,200,3263,20541,2021,40.46134697,-3.693356225
6,Tetuan,64,Almenara,2308,12536,4147,18991,380,3204,163,3747,22738,2021,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,2646,13970,3558,20174,745,5492,214,6451,26625,2021,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,2413,12823,3975,19211,717,5522,213,6452,25663,2021,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,1965,12286,5701,19952,212,2633,151,2996,22948,2021,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,2234,13269,5673,21176,237,2695,152,3084,24260,2021,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,2222,13683,5098,21003,255,3198,172,3625,24628,2021,40.43363365,-3.701411104
7,Chamberí,74,Almagro,1994,10177,4519,16690,244,2402,210,2856,19546,2021,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,2815,14866,6252,23933,305,2831,147,3283,27216,2021,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,2159,10909,5442,18510,125,1358,76,1559,20069,2021,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,393,2033,845,3271,20,145,7,172,3443,2021,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,564,1704,837,3105,20,208,23,251,3356,2021,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,5346,23817,11482,40645,439,3053,246,3738,44383,2021,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,4294,23048,12953,40295,668,4693,314,5675,45970,2021,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,3501,16465,11142,31108,242,1491,164,1897,33005,2021,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,13575,35120,7194,55889,1327,6458,368,8153,64042,2021,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,7365,20310,5087,32762,223,1434,146,1803,34565,2021,40.49712907,-3.720451855
8,Fuencarral-El Pardo,88,El Goloso,5789,10721,1280,17790,174,898,66,1138,18928,2021,40.55638538,-3.703303014
9,Moncloa-Aravaca,91,Casa de Campo,1165,7437,3159,11761,92,1125,88,1305,13066,2021,40.42071623,-3.755457443
9,Moncloa-Aravaca,92,Argüelles,2159,12663,5776,20598,254,3133,177,3564,24162,2021,40.42843437,-3.716990154
9,Moncloa-Aravaca,93,Ciudad Universitaria,1943,8631,3999,14573,101,1405,96,1602,16175,2021,40.46089498,-3.73758365
9,Moncloa-Aravaca,94,Valdezarza,3334,15764,7378,26476,432,3047,136,3615,30091,2021,40.46557332,-3.716540901
9,Moncloa-Aravaca,95,Valdemarín,1641,3812,734,6187,104,535,30,669,6856,2021,40.46812302,-3.777237777
9,Moncloa-Aravaca,96,El Plantío,506,1567,526,2599,33,253,31,317,2916,2021,40.47084192,-3.823747736
9,Moncloa-Aravaca,97,Aravaca,4824,15659,4157,24640,448,2329,151,2928,27568,2021,40.45769825,-3.78123267
10,Latina,101,Los Cármenes,1992,9707,2872,14571,381,2537,88,3006,17577,2021,40.40114149,-3.736801015
10,Latina,102,Puerta del Ángel,3772,20890,8214,32876,927,7892,287,9106,41982,2021,40.41000702,-3.732608671
10,Latina,103,Lucero,3616,18297,7738,29651,846,5817,262,6925,36576,2021,40.40062093,-3.751121549
10,Latina,104,Aluche,5857,29953,19028,54838,1681,10025,423,12129,66968,2021,40.39422525,-3.755636923
10,Latina,105,Campamento,1940,8981,4400,15321,533,3576,149,4258,19579,2021,40.38549591,-3.804051056
10,Latina,106,Cuatro Vientos,1270,3765,359,5394,51,392,37,480,5874,2021,40.36810659,-3.785060096
10,Latina,107,Águilas,5172,25869,13871,44912,907,5482,298,6687,51599,2021,40.38279952,-3.772154148
11,Carabanchel,111,Comillas,1955,11079,5068,18102,531,3884,178,4593,22695,2021,40.39229819,-3.713622777
11,Carabanchel,112,Opañel,3035,16233,6550,25818,947,6667,224,7838,33656,2021,40.38845582,-3.725538062
11,Carabanchel,113,San Isidro,4074,19764,7154,30992,1087,7379,270,8736,39728,2021,40.39494027,-3.731601857
11,Carabanchel,114,Vista Alegre,4289,21054,10011,35354,1533,9812,383,11728,47082,2021,40.38489751,-3.745784379
11,Carabanchel,115,Puerta Bonita,3893,16907,5978,26778,1236,7635,298,9169,35947,2021,40.38127292,-3.7415969
11,Carabanchel,116,Buenavista,8197,26492,6191,40880,1041,5831,256,7128,48008,2021,40.36773534,-3.751816416
11,Carabanchel,117,Abrantes,4006,15173,5219,24398,918,5970,231,7119,31517,2021,40.3754323,-3.731427779
12,Usera,121,Orcasitas,3473,12979,4279,20731,339,1918,106,2363,23095,2021,40.36930591,-3.715305938
12,Usera,122,Orcasur,1904,7784,1901,11589,345,2120,87,2552,14141,2021,40.36998198,-3.700980503
12,Usera,123,San Fermín,3238,12428,3186,18852,753,4032,201,4986,23838,2021,40.37201824,-3.690394281
12,Usera,124,Almendrales,2485,10188,3272,15945,863,5498,210,6571,22516,2021,40.38391174,-3.69987246
12,Usera,125,Moscardó,2338,11683,4695,18716,1040,6684,183,7907,26623,2021,40.38967101,-3.707229957
12,Usera,126,Zofío,1347,6756,2360,10463,547,3239,86,3872,14336,2021,40.38189691,-3.715139499
12,Usera,127,Pradolongo,1565,6839,2742,11146,949,5654,156,6759,17905,2021,40.37821403,-3.70965523
13,Puente de Vallecas,131,Entrevías,4108,18483,6354,28945,904,5199,191,6294,35239,2021,40.37997822,-3.670066296
13,Puente de Vallecas,132,San Diego,4282,19588,5456,29326,2038,11873,337,14248,43574,2021,40.38555985,-3.667801576
13,Puente de Vallecas,133,Palomeras Bajas,4141,23298,6554,33993,955,5309,211,6475,40468,2021,40.3843869,-3.662482758
13,Puente de Vallecas,134,Palomeras Sureste,4938,24505,7593,37036,839,4841,206,5886,42924,2021,40.38865742,-3.643562632
13,Puente de Vallecas,135,Portazgo,3299,14762,5914,23975,695,3915,151,4761,28736,2021,40.39147186,-3.648804416
13,Puente de Vallecas,136,Numancia,4671,23664,8394,36729,1551,9492,344,11387,48116,2021,40.40128296,-3.662853164
14,Moratalaz,141,Pavones,957,4814,2227,7998,100,801,73,974,8972,2021,40.40112689,-3.633398618
14,Moratalaz,142,Horcajo,932,4486,597,6015,49,277,30,356,6371,2021,40.40845436,-3.628744528
14,Moratalaz,143,Marroquina,2369,15032,7382,24783,206,1564,105,1875,26658,2021,40.41076704,-3.647064962
14,Moratalaz,144,Media Legua,1799,9135,4867,15801,214,1564,81,1859,17660,2021,40.41277352,-3.657583383
14,Moratalaz,145,Fontarrón,1786,8587,4115,14488,375,2304,123,2802,17290,2021,40.40118068,-3.646893857
14,Moratalaz,146,Vinateros,1640,8316,4739,14695,275,1787,102,2164,16859,2021,40.40580793,-3.642890426
15,Ciudad Lineal,151,Ventas,4400,24285,10789,39474,1003,7590,344,8937,48411,2021,40.42414921,-3.649460062
15,Ciudad Lineal,152,Pueblo Nuevo,6095,31586,13060,50741,1418,10127,445,11990,62731,2021,40.42815401,-3.637866734
15,Ciudad Lineal,153,Quintana,2159,12375,5121,19655,551,4224,190,4965,24621,2021,40.43615611,-3.648158762
15,Ciudad Lineal,154,Concepción,2114,10755,4804,17673,332,2551,170,3053,20727,2021,40.44138909,-3.647127163
15,Ciudad Lineal,155,San Pascual,1954,9507,4733,16194,189,1348,92,1629,17823,2021,40.44285992,-3.653142425
15,Ciudad Lineal,156,San Juan Bautista,1678,6822,2647,11147,220,1040,77,1337,12484,2021,40.45094745,-3.65784012
15,Ciudad Lineal,157,Colina,877,3380,1409,5666,76,570,55,701,6367,2021,40.45817111,-3.660500494
15,Ciudad Lineal,158,Atalaya,222,841,329,1392,26,147,15,188,1580,2021,40.46538473,-3.664363569
15,Ciudad Lineal,159,Costillares,3147,12846,4827,20820,142,983,129,1254,22074,2021,40.47598548,-3.670914191
16,Hortaleza,161,Palomas,1174,3929,1021,6124,170,554,43,767,6891,2021,40.45246976,-3.616840182
16,Hortaleza,162,Piovera,2117,8331,2073,12521,501,1678,135,2314,14835,2021,40.45641298,-3.63387767
16,Hortaleza,163,Canillas,4227,21387,10618,36232,562,3263,224,4049,40281,2021,40.46517171,-3.646071698
16,Hortaleza,164,Pinar del Rey,5519,27236,13423,46178,868,5149,298,6315,52494,2021,40.47330755,-3.645718872
16,Hortaleza,165,Apóstol Santiago,1642,9019,3170,13831,213,1324,105,1642,15473,2021,40.47898477,-3.658594367
16,Hortaleza,166,Valdefuentes,15700,36664,4351,56715,1267,4856,415,6538,63254,2021,40.48282313,-3.634280649
17,Villaverde,171,Villaverde Alto,5637,23158,7277,36072,1643,8619,303,10565,46637,2021,40.34363176,-3.710011007
17,Villaverde,172,San Cristóbal,2150,6910,1754,10814,1010,4971,191,6172,16986,2021,40.34096627,-3.68867801
17,Villaverde,173,Butarque,4356,11637,1658,17651,491,2442,137,3070,20722,2021,40.34103245,-3.675427448
17,Villaverde,174,Los Rosales,4293,19513,6095,29901,1115,6517,257,7889,37790,2021,40.35688042,-3.688301814
17,Villaverde,175,Ángeles,3204,15499,7882,26585,856,5028,204,6088,32673,2021,40.35689353,-3.699407857
18,Villa de Vallecas,181,Casco Histórico de Vallecas,5295,21204,6335,32834,1214,5899,294,7407,40241,2021,40.35149313,-3.618788785
