Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Españoles_0_15_años,Españoles_16_64_años,Españoles_65_mas_años,Total_Españoles,Extranjeros_0_15_años,Extranjeros_16_64_años,Extranjeros_65_mas_años,Total_Extranjeros,Total_personas,Año,Latitud ,Longitud
1,Centro,11,Palacio,1547,13447,4226,19220,278,3894,200,4372,23593,2020,40.41693878,-3.718042236
1,Centro,12,Embajadores,2950,24817,6078,33845,963,11880,359,13202,47048,2020,40.41107777,-3.703573122
1,Centro,13,Cortes,621,5833,1693,8147,151,2358,115,2624,10771,2020,40.41590962,-3.698176901
1,Centro,14,Justicia,1154,10150,2675,13979,265,3625,152,4042,18021,2020,40.42372487,-3.696153568
1,Centro,15,Universidad,2001,18871,4933,25805,502,6829,282,7613,33418,2020,40.42659076,-3.708216164
1,Centro,16,Sol,376,3818,1197,5391,110,2025,96,2231,7622,2020,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,2507,13701,4939,21147,130,1542,89,1761,22908,2020,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,3626,22026,8520,34172,224,2408,118,2750,36922,2020,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,1899,11057,4446,17402,275,2501,109,2885,20287,2020,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,3610,12997,1776,18383,144,1218,65,1427,19810,2020,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,3583,16582,4686,24851,325,2932,125,3382,28233,2020,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,2225,14708,5256,22189,317,3625,157,4099,26289,2020,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,235,790,123,1148,4,57,2,63,1211,2020,40.40274032,-3.688177947
3,Retiro,31,Pacífico,3227,18997,8342,30566,270,2771,160,3201,33767,2020,40.40406672,-3.67840479
3,Retiro,32,Adelfas,2367,11005,4016,17388,152,1174,71,1397,18785,2020,40.40162378,-3.670517136
3,Retiro,33,Estrella,2925,12183,7154,22262,106,906,80,1092,23354,2020,40.41237553,-3.666253718
3,Retiro,34,Ibiza,2452,11507,5260,19219,275,2332,167,2774,21993,2020,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,759,3719,1769,6247,77,652,70,799,7046,2020,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,2201,8270,4055,14526,117,735,83,935,15461,2020,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,1557,7938,3468,12963,280,2356,247,2883,15846,2020,40.42492822,-3.685719609
4,Salamanca,42,Goya,2844,15739,6827,25410,368,3878,289,4535,29945,2020,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,2080,11396,5014,18490,235,2376,148,2759,21249,2020,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,4491,23040,9892,37423,344,4313,226,4883,42306,2020,40.43630674,-3.66653976
4,Salamanca,45,Lista,2100,11034,4875,18009,210,2842,150,3202,21211,2020,40.43140714,-3.676307495
4,Salamanca,46,Castellana,1793,8577,3815,14185,205,2707,200,3112,17297,2020,40.43348152,-3.684552837
5,Chamartin,51,El Viso,2294,9490,3639,15423,155,1704,151,2010,17433,2020,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,3769,20096,9073,32938,335,3429,238,4002,36940,2020,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,2113,10214,4235,16562,219,1987,125,2331,18893,2020,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,4503,17378,7650,29531,237,2043,231,2511,32042,2020,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,4053,13591,4975,22619,233,1935,228,2396,25015,2020,40.46296601,-3.678451861
5,Chamartin,56,Castilla,2237,9587,3780,15604,134,1371,118,1623,17228,2020,40.47398532,-3.679434358
