Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Sin_Estudio,Nivel_De_Educación_Básico,Nivel_De_Educación_Medio,Nivel_De_Educación_Alto,Nivel_de_educación,Año,Latitud ,Longitud
1,Centro,11,Palacio,550,4412,5160,9410,3,2019,40.41693878,-3.718042236
1,Centro,12,Embajadores,1731,11196,9948,15521,3,2019,40.41107777,-3.703573122
1,Centro,13,Cortes,191,1759,2405,4723,3,2019,40.41590962,-3.698176901
1,Centro,14,Justicia,243,2803,3596,7911,3,2019,40.42372487,-3.696153568
1,Centro,15,Universidad,611,6059,7185,13373,3,2019,40.42659076,-3.708216164
1,Centro,16,Sol,132,1488,1785,2913,3,2019,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,439,4287,5343,8262,3,2019,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,716,6936,8195,13971,3,2019,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,601,5640,4773,5493,1,2019,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,176,2182,4025,7830,3,2019,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,513,5555,5977,9566,3,2019,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,672,5997,5821,9073,3,2019,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,18,215,302,278,2,2019,40.40274032,-3.688177947
3,Retiro,31,Pacífico,610,6217,7770,12928,3,2019,40.40406672,-3.67840479
3,Retiro,32,Adelfas,378,3326,4116,6833,3,2019,40.40162378,-3.670517136
3,Retiro,33,Estrella,303,3391,4876,10029,3,2019,40.41237553,-3.666253718
3,Retiro,34,Ibiza,356,3513,4476,9066,3,2019,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,84,965,1478,3199,3,2019,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,112,1675,2850,7099,3,2019,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,113,1668,2738,8004,3,2019,40.42492822,-3.685719609
4,Salamanca,42,Goya,396,4249,5912,13554,3,2019,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,354,3879,4691,8307,3,2019,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,613,6339,8932,17679,3,2019,40.43630674,-3.66653976
4,Salamanca,45,Lista,248,2893,4054,9712,3,2019,40.43140714,-3.676307495
4,Salamanca,46,Castellana,165,1985,3120,8215,3,2019,40.43348152,-3.684552837
5,Chamartin,51,El Viso,178,1949,2898,8164,3,2019,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,511,6119,8379,14938,3,2019,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,283,3241,3969,7521,3,2019,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,308,3764,5927,14561,3,2019,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,177,2317,4053,11834,3,2019,40.46296601,-3.678451861
5,Chamartin,56,Castilla,224,2073,3237,7622,3,2019,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,824,8702,6148,7461,1,2019,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,653,6840,6856,13872,3,2019,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,354,3951,4327,8460,3,2019,40.46134697,-3.693356225
6,Tetuan,64,Almenara,1194,7224,4628,4887,1,2019,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,1088,8417,5578,5328,1,2019,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,770,7882,5444,5523,1,2019,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,347,3677,4401,10434,3,2019,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,401,4173,4807,10588,3,2019,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,366,3949,4837,11277,3,2019,40.43363365,-3.701411104
7,Chamberí,74,Almagro,206,2786,3506,9296,3,2019,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,387,4207,5133,12584,3,2019,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,172,2484,3760,9843,3,2019,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,152,1159,896,619,1,2019,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,31,333,528,1478,3,2019,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,1517,10607,10019,12879,3,2019,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,2043,14490,10691,11118,1,2019,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,483,5918,7741,13538,3,2019,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,1636,11302,11861,18490,3,2019,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,396,2908,5345,13303,3,2019,40.49712907,-3.720451855
8,Fuencarral-El Pardo,88,El Goloso,260,1422,2747,6832,3,2019,40.55638538,-3.703303014
9,Moncloa-Aravaca,91,Casa de Campo,295,2625,2905,4792,3,2019,40.42071623,-3.755457443
9,Moncloa-Aravaca,92,Argüelles,319,3608,4678,11072,3,2019,40.42843437,-3.716990154
9,Moncloa-Aravaca,93,Ciudad Universitaria,188,2032,2787,7547,3,2019,40.46089498,-3.73758365
9,Moncloa-Aravaca,94,Valdezarza,979,8204,6823,7435,1,2019,40.46557332,-3.716540901
9,Moncloa-Aravaca,95,Valdemarín,51,538,750,2839,3,2019,40.46812302,-3.777237777
9,Moncloa-Aravaca,96,El Plantío,30,295,462,1188,3,2019,40.47084192,-3.823747736
9,Moncloa-Aravaca,97,Aravaca,367,2917,4188,10478,3,2019,40.45769825,-3.78123267
10,Latina,101,Los Cármenes,985,5600,3789,2646,1,2019,40.40114149,-3.736801015
10,Latina,102,Puerta del Ángel,1887,13862,9555,7969,1,2019,40.41000702,-3.732608671
10,Latina,103,Lucero,1879,12092,8056,6039,1,2019,40.40062093,-3.751121549
10,Latina,104,Aluche,3048,24182,15614,10805,1,2019,40.39422525,-3.755636923
10,Latina,105,Campamento,789,6381,4657,3394,1,2019,40.38549591,-3.804051056
10,Latina,106,Cuatro Vientos,99,1072,1459,1354,2,2019,40.36810659,-3.785060096
10,Latina,107,Águilas,2970,18773,12183,7271,1,2019,40.38279952,-3.772154148
11,Carabanchel,111,Comillas,911,7871,5261,4152,1,2019,40.39229819,-3.713622777
11,Carabanchel,112,Opañel,1373,12001,7330,5290,1,2019,40.38845582,-3.725538062
11,Carabanchel,113,San Isidro,2314,14478,7926,5408,1,2019,40.39494027,-3.731601857
11,Carabanchel,114,Vista Alegre,2189,17964,9934,5920,1,2019,40.38489751,-3.745784379
11,Carabanchel,115,Puerta Bonita,2183,13297,6923,3764,1,2019,40.38127292,-3.7415969
11,Carabanchel,116,Buenavista,1681,13231,11254,7245,1,2019,40.36773534,-3.751816416
11,Carabanchel,117,Abrantes,1447,11273,6323,3688,1,2019,40.3754323,-3.731427779
12,Usera,121,Orcasitas,1998,8303,4548,2007,1,2019,40.36930591,-3.715305938
12,Usera,122,Orcasur,1347,5170,2193,1271,1,2019,40.36998198,-3.700980503
12,Usera,123,San Fermín,1374,8515,4594,2338,1,2019,40.37201824,-3.690394281
12,Usera,124,Almendrales,1067,8576,4000,2372,1,2019,40.38391174,-3.69987246
12,Usera,125,Moscardó,1021,10669,5397,3358,1,2019,40.38967101,-3.707229957
12,Usera,126,Zofío,815,5849,2642,1263,1,2019,40.38189691,-3.715139499
12,Usera,127,Pradolongo,1029,8090,2868,1195,1,2019,40.37821403,-3.70965523
13,Puente de Vallecas,131,Entrevías,4162,14656,5533,1813,1,2019,40.37997822,-3.670066296
13,Puente de Vallecas,132,San Diego,2474,16834,8096,3913,1,2019,40.38555985,-3.667801576
13,Puente de Vallecas,133,Palomeras Bajas,2270,13863,8976,4965,1,2019,40.3843869,-3.662482758
13,Puente de Vallecas,134,Palomeras Sureste,3904,16043,8539,4105,1,2019,40.38865742,-3.643562632
13,Puente de Vallecas,135,Portazgo,2667,11835,5196,2234,1,2019,40.39147186,-3.648804416
13,Puente de Vallecas,136,Numancia,3022,18462,9835,5337,1,2019,40.40128296,-3.662853164
14,Moratalaz,141,Pavones,665,2563,2192,1599,1,2019,40.40112689,-3.633398618
14,Moratalaz,142,Horcajo,161,1048,1407,1622,3,2019,40.40845436,-3.628744528
14,Moratalaz,143,Marroquina,907,7173,6702,6895,1,2019,40.41076704,-3.647064962
14,Moratalaz,144,Media Legua,918,5263,4130,3938,1,2019,40.41277352,-3.657583383
14,Moratalaz,145,Fontarrón,987,6062,4081,2460,1,2019,40.40118068,-3.646893857
14,Moratalaz,146,Vinateros,853,5569,4232,3069,1,2019,40.40580793,-3.642890426
15,Ciudad Lineal,151,Ventas,2012,16627,11498,8404,1,2019,40.42414921,-3.649460062
15,Ciudad Lineal,152,Pueblo Nuevo,2791,21441,14608,10132,1,2019,40.42815401,-3.637866734
15,Ciudad Lineal,153,Quintana,820,7612,5952,5410,1,2019,40.43615611,-3.648158762
15,Ciudad Lineal,154,Concepción,487,5318,5111,5776,3,2019,40.44138909,-3.647127163
15,Ciudad Lineal,155,San Pascual,649,4199,4120,5432,3,2019,40.44285992,-3.653142425
15,Ciudad Lineal,156,San Juan Bautista,156,1560,2388,5195,3,2019,40.45094745,-3.65784012
15,Ciudad Lineal,157,Colina,100,843,1267,2680,3,2019,40.45817111,-3.660500494
15,Ciudad Lineal,158,Atalaya,8,173,285,668,3,2019,40.46538473,-3.664363569
15,Ciudad Lineal,159,Costillares,293,2226,4099,9474,3,2019,40.47598548,-3.670914191
16,Hortaleza,161,Palomas,34,540,1249,2761,3,2019,40.45246976,-3.616840182
16,Hortaleza,162,Piovera,133,1289,2526,6366,3,2019,40.45641298,-3.63387767
16,Hortaleza,163,Canillas,1548,11181,9868,9918,1,2019,40.46517171,-3.646071698
16,Hortaleza,164,Pinar del Rey,2463,16903,12583,10076,1,2019,40.47330755,-3.645718872
16,Hortaleza,165,Apóstol Santiago,648,3915,3906,3431,1,2019,40.47898477,-3.658594367
16,Hortaleza,166,Valdefuentes,559,4834,10820,21483,3,2019,40.48282313,-3.634280649
17,Villaverde,171,Villaverde Alto,3731,17347,8726,3687,1,2019,40.34363176,-3.710011007
17,Villaverde,172,San Cristóbal,1285,6944,2190,716,1,2019,40.34096627,-3.68867801
17,Villaverde,173,Butarque,708,5151,4558,2296,1,2019,40.34103245,-3.675427448
17,Villaverde,174,Los Rosales,2340,13444,8099,3815,1,2019,40.35688042,-3.688301814
17,Villaverde,175,Ángeles,1966,12296,6939,3500,1,2019,40.35689353,-3.699407857
18,Villa de Vallecas,181,Casco Histórico de Vallecas,3456,15209,7706,2944,1,2019,40.35149313,-3.618788785
18,Villa de Vallecas,182,Santa Eugenia,1152,7366,6536,4107,1,2019,40.38401167,-3.614301754
18,Villa de Vallecas,183,Ensanche de Vallecas,717,8147,12097,10841,2,2019,40.36723667,-3.598334171
19,Vicálvaro,191,Casco Histórico de Vicálvaro,2999,14128,6437,2934,1,2019,40.38861379,-3.574439089
19,Vicálvaro,192,Valdebernardo,573,3719,4387,3662,2,2019,40.39916665,-3.608006966
19,Vicálvaro,193,Valderrivas,171,2509,4727,4181,2,2019,40.40352452,-3.674670051
19,Vicálvaro,194,El Cañaveral,9,339,449,293,2,2019,40.40147731,-3.550886512
20,San Blas-Canillejas,201,Simancas,1271,8804,6115,4973,1,2019,40.43520507,-3.624913311
20,San Blas-Canillejas,202,Hellín,750,3868,1873,735,1,2019,40.4311922,-3.61696085
20,San Blas-Canillejas,203,Amposta,650,3731,1478,605,1,2019,40.42639957,-3.622608836
20,San Blas-Canillejas,204,Arcos,1746,8331,5058,2899,1,2019,40.42062544,-3.617729735
20,San Blas-Canillejas,205,Rosas,586,6321,8133,7174,2,2019,40.4278625,-3.597513752
20,San Blas-Canillejas,206,Rejas,342,3060,3981,4772,3,2019,40.44501198,-3.578503664
20,San Blas-Canillejas,207,Canillejas,1536,10452,6340,4193,1,2019,40.4438735,-3.614945433
20,San Blas-Canillejas,208,El Salvador,208,1999,2699,3781,3,2019,40.44554578,-3.632380014
21,Barajas,211,Alameda de Osuna,203,2839,5034,6674,3,2019,40.45621134,-3.591402968
