Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Total,Tamaño_medio_del_hogar,1_persona,2_personas,3_personas,4_personas,5_personas_o_mas,Año,Latitud ,Longitud
1,Centro,11,Palacio,11305,2.03,5258,3224,1486,852,485,2019,40.41693878,-3.718042236
1,Centro,12,Embajadores,22089,2.05,10493,6091,2705,1489,1311,2019,40.41107777,-3.703573122
1,Centro,13,Cortes,5406,1.94,2648,1514,655,360,229,2019,40.41590962,-3.698176901
1,Centro,14,Justicia,8582,2,4179,2393,985,579,446,2019,40.42372487,-3.696153568
1,Centro,15,Universidad,16189,1.96,7885,4556,1927,1071,750,2019,40.42659076,-3.708216164
1,Centro,16,Sol,3725,1.97,1833,1010,477,216,189,2019,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,9633,2.36,3182,2713,1757,1408,573,2019,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,15442,2.38,4938,4368,2953,2297,886,2019,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,8585,2.33,2981,2595,1440,964,605,2019,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,7628,2.58,2055,1979,1520,1567,507,2019,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,11525,2.4,3853,3104,2072,1758,738,2019,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,11768,2.19,4798,3341,1732,1172,725,2019,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,424,2.77,104,100,77,105,38,2019,40.40274032,-3.688177947
3,Retiro,31,Pacífico,14665,2.29,5140,4293,2551,1783,898,2019,40.40406672,-3.67840479
3,Retiro,32,Adelfas,7613,2.43,2334,2195,1460,1130,494,2019,40.40162378,-3.670517136
3,Retiro,33,Estrella,8691,2.68,2051,2575,1683,1487,895,2019,40.41237553,-3.666253718
3,Retiro,34,Ibiza,9268,2.34,3318,2538,1592,1126,694,2019,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,2804,2.51,912,801,464,357,270,2019,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,5632,2.72,1486,1459,1055,896,736,2019,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,6664,2.36,2644,1723,926,669,702,2019,40.42492822,-3.685719609
4,Salamanca,42,Goya,13237,2.24,5118,3735,2046,1423,915,2019,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,9302,2.27,3513,2583,1560,1043,603,2019,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,17615,2.36,6291,4875,2854,2234,1361,2019,40.43630674,-3.66653976
4,Salamanca,45,Lista,9233,2.27,3622,2513,1417,938,743,2019,40.43140714,-3.676307495
4,Salamanca,46,Castellana,6900,2.48,2611,1703,1007,757,822,2019,40.43348152,-3.684552837
5,Chamartin,51,El Viso,6082,2.84,1736,1492,975,867,1012,2019,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,15908,2.3,5755,4531,2627,1903,1092,2019,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,8002,2.33,2887,2228,1340,925,622,2019,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,12381,2.56,3971,3295,2054,1641,1420,2019,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,9227,2.67,2974,2279,1400,1178,1396,2019,40.46296601,-3.678451861
5,Chamartin,56,Castilla,6640,2.54,2137,1726,1155,920,702,2019,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,11860,2.46,4357,3085,1928,1245,1245,2019,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,15031,2.3,5729,4118,2362,1618,1204,2019,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,9351,2.19,3788,2666,1392,867,638,2019,40.46134697,-3.693356225
6,Tetuan,64,Almenara,9324,2.43,3263,2606,1531,1084,840,2019,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,10607,2.45,3685,2884,1797,1227,1014,2019,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,10255,2.44,3708,2778,1605,1115,1049,2019,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,10498,2.18,4341,2853,1583,1041,680,2019,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,11195,2.18,4586,3145,1620,1157,687,2019,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,11718,2.11,5149,3149,1648,1116,656,2019,40.43363365,-3.701411104
7,Chamberí,74,Almagro,8080,2.45,3034,2152,1153,925,816,2019,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,12139,2.26,4724,3396,1851,1278,890,2019,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,8383,2.41,3023,2267,1314,1020,759,2019,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,1315,2.63,398,392,262,170,93,2019,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,1114,2.93,254,281,207,165,207,2019,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,16991,2.62,4218,5039,3469,2845,1420,2019,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,19542,2.38,6010,6149,3663,2410,1310,2019,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,12550,2.69,2548,3916,2791,2171,1124,2019,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,22777,2.77,5592,5427,4571,4704,2483,2019,40.50020625,-3.677182408
